T_tick,T_val,H_tick,H_val,TH_tick,TH_val,Phase_tick,Phase_val
,,0.0,3.304688,0.0,77.8,0.0,Loading
,,3000.0,3.253906,3000.0,77.6,15249.0,Prewash
,,9620.0,3.435547,9620.0,77.4,187519.0,Disinfection (Temp/Time)
,,12000.0,3.417969,12000.0,77.2,834219.0,Drying
,,13610.0,3.417969,13610.0,77.2,1585259.0,Unloading
,,14650.0,3.330078,14650.0,77.2,,
,,15249.0,3.259766,15249.0,77.1,,
,,22249.0,3.095703,22249.0,76.9,,
,,27249.0,3.259766,27249.0,76.8,,
,,33249.0,3.25,33249.0,76.6,,
,,38249.0,3.226562,38249.0,76.4,,
,,41249.0,3.240234,41249.0,76.3,,
,,44249.0,3.291016,44249.0,76.2,,
,,45249.0,4.605469,45249.0,76.1,,
,,46249.0,4.25,46249.0,76.1,,
,,47249.0,5.105469,47249.0,76.1,,
,,48249.0,4.320312,48249.0,76.0,,
,,48249.0,4.320312,48249.0,76.0,,
,,49249.0,3.742188,49249.0,75.9,,
,,50249.0,3.472656,50249.0,75.9,,
,,51249.0,3.388672,51249.0,75.8,,
,,52249.0,4.011719,52249.0,75.8,,
,,53249.0,3.560547,53249.0,75.7,,
,,54249.0,3.369141,54249.0,75.7,,
,,55249.0,3.267578,55249.0,75.6,,
,,56249.0,3.267578,56249.0,75.6,,
,,57249.0,4.542969,57249.0,75.5,,
,,58249.0,3.757812,58249.0,75.4,,
,,59249.0,3.435547,59249.0,75.4,,
,,60249.0,3.587891,60249.0,75.4,,
,,61249.0,3.365234,61249.0,75.3,,
,,62249.0,3.498047,62249.0,75.2,,
,,63249.0,3.986328,63249.0,75.2,,
,,64249.0,3.658203,64249.0,75.2,,
,,65249.0,3.482422,65249.0,75.1,,
,,66249.0,3.457031,66249.0,75.1,,
,,67249.0,3.427734,67249.0,75.0,,
,,68249.0,3.453125,68249.0,74.9,,
,,69249.0,3.708984,69249.0,74.9,,
,,70249.0,4.15625,70249.0,74.9,,
,,71249.0,3.712891,71249.0,74.8,,
,,72249.0,3.679688,72249.0,74.8,,
,,73249.0,3.632812,73249.0,74.8,,
,,75249.0,3.71875,75249.0,74.6,,
,,75249.0,3.71875,75249.0,74.6,,
,,77249.0,3.816406,77249.0,74.6,,
,,77249.0,3.816406,77249.0,74.6,,
,,78249.0,4.015625,78249.0,74.5,,
,,79249.0,3.902344,79249.0,74.4,,
,,80249.0,3.902344,80249.0,74.4,,
,,81249.0,4.535156,81249.0,74.3,,
,,82249.0,4.246094,82249.0,74.3,,
